Meal Name;Servings;Total Time (mins);Link to Website;Cooking Instructions
7 Veggie Bolognese;;;https://www.instagram.com/reel/CpwvVTcgn6c/?hl=en;
Easy Breakfast Muffins;;;https://yummylittlebelly.com/recipe/easy-breakfast-muffins/;
Lemon and Coconut Bliss Balls;;;https://boobtofood.com/lemon-and-coconut-bliss-balls/;
Zucchini Slice;;;https://boobtofood.com/zucchini-slice/#recipe;
Strawberry Mango Popsicles;;;"http://	https://www.halfbakedharvest.com/3-ingredient-strawberry-mango-popsicles/";
Healthy Chocolate Muffins;;;https://thenaturalnurturer.com/healthy-chocolate-muffins-with-veggies/;
Thai Chicken Meatballs;;;https://www.instagram.com/reel/DEksX06RTvA/?igsh=MWd4bWc0bjcwYTMxbA%3D%3D;
Coconut Lime Cod Bowl;;;https://www.instagram.com/reel/DD7mf55owNw/?igsh=MWt4OWhpY2tucHk0MA%3D%3D;
Chocolate Avocado Pudding Pops;;;http://Chocolate Avocado Pudding Pops;
Green Goddess Pasta;4;;https://www.instagram.com/p/DDJuFm1Srq8/;"Place a medium, saucepan over a medium/high heat, add the olive oil leek, garlic, and a good pinch of salt. Cook this stirring for 4-5 minutes, stirring often.

Add the baby spinach, peas and cook another 2 minutes, to wilt the spinach and defrost the peas.

Transfer ¾ of the veggie mix to a blender, keep the remainder in the pot, set aside.

Add half the 1/3 of the cottage cheese to the blender along with the vegetable stock, blending to a smooth sauce.

Bring a large pan of lightly salted water to the boil and add the pasta, cooking according to packet instructions.

Add the snap peas to the pasta for the last minute of cooking then drain both, reserving ½ cup pasta water.

Add the pasta back to the pan with reserved veggies. Pour over the sauce and stir through to combine well, using a little pasta water if needed to thin out.

Season to taste and serve, topped with remaining cottage cheese and a crack of black pepper."
Fish Tacos (Natasha’s);2;;https://natashaskitchen.com/fish-tacos-recipe/;
Steak & Chimichurri Bean Salad;4;;;
Greenland Quesadillas;2;;;
Beef Lasagne;2;;;
Chickpea Pancakes;;;;"Mash bananas.
Beat eggs.
Combine all ingredients.
Fry in coconut oil.
Serve with yoghurt and peaches."
Caprese Pesto Tarts;8;30;https://www.halfbakedharvest.com/caprese-pesto-tarts/;"1. Preheat the oven to 425° F. Line a baking sheet with parchment paper.
2. in a bowl, toss together the olive oil, tomatoes, thyme, oregano, garlic, chili flakes, salt, and pepper.
3. Cut each sheet of puff pastry into 4 squares. Spread each square with a tablespoons of pesto, leaving a 1/2 inch border. Sprinkle the cheese over the pesto. Arrange the tomatoes over the cheese.
4. Fold the edges of the pastry inward to enclose. Bake 15-20 minutes, until the pastry is golden and the cheese has melted. Break the burrata over the warm tomatoes, then spoon over the pesto. Top with fresh basil. Enjoy!"
Carrot Cake Energy Balls;12;15;https://choosingchia.com/carrot-cake-energy-balls/;"1. Add all the ingredients to a food processor and pulse until combined.
2. Scoop out some dough using a spoon and roll into balls. 
3. Roll each ball into the shredded coconut to coat. 
4. Place in the fridge to firm up for at least one hour.

Store these energy balls in the fridge for up to 2 weeks."
Chickpea Crunch Bars;;35;https://wellbymelnutrition.com/chickpea-crunch-bars/;"1. Thoroughly rinse one 15oz can of chickpeas in a strainer. Pat the chickpeas dry using a towel.
2. Add the chickpeas to a bowl. To the bowl, add 1 tsp melted coconut oil. Mix the contents of the bowl until the chickpeas are evenly coated.
3. Evenly space the chickpeas across a baking dish. Bake at 400 degrees for about 30 minutes or until the chickpeas are crispy. Alternatively, air fry the chickpeas at 400 degrees for about 20-25 minutes or until the chickpeas are crispy. Remove the chickpeas from the oven and allow them to cool.
4. Melt the chocolate chips. Place the crispy chickpeas in a bread pan lined with parchment paper. Add the melted chocolate chips to the bread pan. Spread until evenly coated and top with a pinch of sea salt.
5. Place the bread pan in the fridge for about an hour or until the chocolate has completely hardened.
6. Once hardened, remove the chocolate from the bread pan and cut into bars."
Salted Caramel Almond Butter Bites;;;https://figgindelicious.com/salted-caramel-almond-butter-bites/;"In a small saucepan, bring the coconut milk, maple syrup and vanilla extract to a boil. Cover and simmer for 20 minutes (or until mixture is golden brown and starts to thicken), stirring every few minutes. The mixture does not need to be thick like caramel for this recipe! 
Combine the caramel mixture with almond butter. Line a bread pan with parchment paper & pour mixture evenly across bottom.
Freeze for 2-3 hours or until filling is hard enough to cut into squares. 
Cut into 24-30 small squares. Place back in the freezer while you melt the chocolate. Using a fork, dip each square in the melted chocolate and place on a baking sheet lined with parchment paper. Sprinkle with sea salt and place back in the freezer for ~1 hour."
Pancakes;;;;"1. Mix the flour and chia seeds in a large bowl. Then add the almond milk, melted coconut oil and maple syrup; mix well, until a smooth batter forms. Set the batter aside for 4-5 minutes to thicken a little.
2. Next, warm some coconut oil in a pan over medium heat. Once the pan is hot, add a large spoonful of batter to the pan, moving the pan around (it needed) to make a pancake shape.
3. As the pancake begins to set, sprinkle some fresh blueberries on top and cook for 3-5 minutes, until the bottom feels cooked. Flip and cook on the other side, until cooked through."
Vegan Nutella;10;;;"1. Drain, rinse and dry the chickpeas.
2. Roast at 220 degree Celsius for 30 mins.
3. Blend with other ingredients (hot water).
4. Store in the fridge."
Mike's Gio's Sandwich;1;;;
Prawn, Chilli and Creme Fraiche Pasta;2;;https://www.instagram.com/p/C5QYDb8MHzB/;"1. Defrost the prawns by thawing and then get rid of excess water - Marinate the prawns with the birds eye chilli, garlic, zest and juice of 1 lemon and salt. Refrigerate for 30 minutes
2. Boil pasta in salted water as per instructions on the packet. Cook until al la dente, drain the water. Reserve some of the pasta water to add to the final dish.
3. Heat one tablespoon butter, with a few drops of oil, in a pan and flash fry half the prawns in 2, 30 seconds on each side. Add another tablespoon of butter and fry remaining prawns. Transfer to a bowl and set aside
4. Fry the chopped onion and a little more garlic on low until onions are soft and translucent, add the tomato mix, cook for 2 mins, then add creme fraiche and simmer a little, about another minute, then turn off the heat and add the grated Parmesan- Leave some to top
5. Add prawns to the sauce and let it heat through. Add some of the pasta water. Drizzle more lemon juice into the pasta
6. Divide pasta into pasta bowls and add the prawn sauce on top. Garnish with parsley and add some parmesan if you like."
Breakfast Croissants;4;;;
Melanzane Parmigiana;4;;https://frozenforyou.co.za/product/melanzane-parmigiana/;
Parmesean & Almond Salad;4;;;
