groceryCategory;GroceryList;groceryListItem;#;Units
Fridge;Beef Lasagne;Beef Lasagne;1000;g
Fridge;Melanzane Parmigiana;Melanzane Parmigiana;820;g
Freezer;Sweet Potato Fries;Frozen Sweet Potato Chips;250;g
Fresh Produce;Roasted Butternut & Spinach Phyllo Parcels;Roasted Butternut & Spinach Phyllo Parcel;1;#
Fresh Produce;Banana Pancakes;Banana;2;#
Fridge;Banana Pancakes;Eggs;2;#
Pantry;Banana Pancakes;Oats;125;g
Pantry;Banana Pancakes;Vanilla Essence;5;ml
Fridge;Banana Pancakes;Butter;20;g
Freezer;Berry Smoothie;Frozen Summer Berries;;
Fresh Produce;Berry Smoothie;Banana;2;#
Fridge;Berry Smoothie;Peanut Butter;120;ml
Pantry;Berry Smoothie;Vanilla Essence;5;ml
Bread & Bakery;Berry Smoothie;Oats;500;g
Fridge;Berry Smoothie;Milk;500;ml
Fridge;Berry Smoothie;Yoghurt;;
Bread & Bakery;Weetbix & Fruit;Weetbix;900;#
Fresh Produce;Weetbix & Fruit;Apple;1;#
Fridge;Pre-Made Meals: Beef Lasagne;Pre-Made Meals: Beef Lasagne;;
Fridge;Pre-Made Meals: Chicken Lasagne;Pre-Made Meals: Chicken Lasagne;;
Pantry;Pre-Made Meals: Bobotie;Pre-Made Meals: Bobotie;;
Pantry;Pre-Made Meals: Spaghetti Bolognaise;Pre-Made Meals: Spaghetti Bolognaise;;
Pantry;Pre-Made Meals: Mash and Stew;Pre-Made Meals: Mash And Stew;;
Pantry;Peanut Butter Bars;"Eggs (); Peanut Butter (); Bananas (); Baking Powder";2;
Fresh Produce;Pumpkin & Ginger Soup;Fresh Pumpkin & Ginger Soup;;
Pantry;Pumpkin & Ginger Soup;;20;
Pantry;Pumpkin & Ginger Soup;Feta;100;g
Drinks;Aperol Spritz Lollies;Prosecco;500;ml
Drinks;Aperol Spritz Lollies;Soda Water;500;ml
Drinks;Aperol Spritz Lollies;Aperol;330;ml
Fridge;Egg Mayo Sandwiches;Eggs;2;#
Pantry;Egg Mayo Sandwiches;Mayonnaise;30;g
Bread & Bakery;Egg Mayo Sandwiches;Bread;2;slices
Fridge;Chicken Strips;Chicken Strips;150;g
Fresh Produce;Broccoli;Broccoli;100;g
